id,related_addiction,author,label,v2_labels,description,icon
101,smoking,Nick,Stress and Anxiety,"{""en"":""Stress and Anxiety"",""ru"":""Стресс и тревога""}","{""en"":""Many individuals turn to bad habits to cope with stress and anxiety, using it as a way to self-medicate."",""ru"":""Многие люди заводят плохие привычки, чтобы справиться со стрессом и тревогой, используя это как способ самолечения.""}",
102,smoking,Nick,Depression,"{""en"":""Depression"",""ru"":""Депрессия""}","{""en"":""People with depression may use X as a form of self-soothing or to temporarily alleviate symptoms."",""ru"":""Люди, страдающие депрессией, могут X в качестве средства самоуспокоения или для временного облегчения симптомов.""}",
103,smoking,Nick,Low Self-Esteem,"{""en"":""Low Self-Esteem"",""ru"":""Низкая самооценка""}","{""en"":""Low self-esteem can lead to using X as a means to fit in or boost one's confidence in social situations."",""ru"":""Низкая самооценка может привести к употреблению X как средства, позволяющего вписаться в общество или повысить уверенность в себе в социальных ситуациях.""}",
104,smoking,Nick,Boredom,"{""en"":""Boredom"",""ru"":""Скука""}","{""en"":""X can become a habitual response to feelings of boredom, as it provides a distraction."",""ru"":""X может стать привычной реакцией на чувство скуки, поскольку он позволяет отвлечься.""}",
106,smoking,Nick,Medications,"{""en"":""Medications"",""ru"":""Лекарства""}","{""en"":""Certain medications for mental health conditions can interact with X, increasing dependence."",""ru"":""Некоторые лекарственные препараты для лечения психических заболеваний могут взаимодействовать с X, усиливая зависимость.""}",
107,smoking,Nick,Mental Cravings,"{""en"":""Mental Cravings"",""ru"":""Психическое влечение""}","{""en"":""People may experience intense cravings for X due to the perceived pleasure it brings."",""ru"":""Люди могут испытывать сильную тягу к X из-за ощущаемого удовольствия, которое он приносит.""}",
108,smoking,Nick,Physical Dependence,"{""en"":""Physical Dependence"",""ru"":""Физическая зависимость""}","{""en"":""The physical addiction to X itself is a significant trigger for continued use."",""ru"":""Физическая зависимость от X сама по себе является значительным толчком к продолжению употребления.""}",
109,smoking,Nick,Withdrawal Symptoms,"{""en"":""Withdrawal Symptoms"",""ru"":""Симптомы отмены""}","{""en"":""The discomfort of X withdrawal symptoms, like irritability and restlessness, can drive continued use."",""ru"":""Дискомфорт от симптомов абстиненции X, таких как раздражительность и беспокойство, может побудить к продолжению употребления.""}",
110,smoking,Nick,Tolerance,"{""en"":""Tolerance"",""ru"":""Толерантность""}","{""en"":""As the body builds tolerance to X, individuals may increase consumption to achieve the desired effect."",""ru"":""По мере того как организм вырабатывает толерантность к X, человек может увеличить его потребление для достижения желаемого эффекта.""}",
111,smoking,Nick,Weight Management,"{""en"":""Weight Management"",""ru"":""Контроль веса""}","{""en"":""Some people use X to suppress appetite and manage weight."",""ru"":""Некоторые люди используют X для подавления аппетита и контроля веса.""}",
113,smoking,Nick,Peer Pressure,"{""en"":""Peer Pressure"",""ru"":""Давление сверстников""}","{""en"":""Being around friends or family who use X can create social pressure to continue or initiate X use."",""ru"":""Нахождение в кругу друзей или родственников может создать социальное давление, заставляющее продолжать или начать употреблять X.""}",
114,smoking,Nick,Social Gatherings,"{""en"":""Social Gatherings"",""ru"":""Общественные мероприятия""}","{""en"":""X may be associated with social events and gatherings, making it challenging to abstain in those situations."",""ru"":""X может ассоциироваться с общественными мероприятиями и собраниями, что затрудняет воздержание от X в таких ситуациях.""}",
116,smoking,Nick,Media Influence,"{""en"":""Media Influence"",""ru"":""Влияние медиа""}","{""en"":""Media portrayal of X in a glamorous or cool manner can encourage use."",""ru"":""Изображение X в средствах массовой информации в гламурном или крутом виде может побуждать к употреблению X.""}",
117,smoking,Nick,Accessibility,"{""en"":""Accessibility"",""ru"":""Доступность""}","{""en"":""Easy access to X products can contribute to addiction."",""ru"":""Легкий доступ к X может способствовать развитию зависимости.""}",
118,smoking,Nick,Marketing and Advertising,"{""en"":""Marketing and Advertising"",""ru"":""Маркетинг и реклама""}","{""en"":""Aggressive marketing and advertising can glamorize and normalize X use."",""ru"":""Агрессивный маркетинг и реклама могут приводить к гламуризации и нормализации X.""}",
119,smoking,Nick,Lack of Support,"{""en"":""Lack of Support"",""ru"":""Отсутствие поддержки""}","{""en"":""The absence of a supportive social network for quitting can hinder cessation efforts."",""ru"":""Отсутствие поддерживающей социальной сети может препятствовать усилиям по отказу X.""}",
120,smoking,Nick,Work,"{""en"":""Work"",""ru"":""Работа""}","{""en"":""Lack of strict work policies may enable continued use among employees."",""ru"":""Отсутствие строгой политики в отношении X на рабочем месте может способствовать продолжению X среди сотрудников.""}",
